Mercedes,Sosa,msosa@fiuba.com,10003,45,9
Daniel,Kux,danielkux@gmail.com,80561,22,"9,10"
Willy,Crook,malformado@gmail.com,80562,22
Daniel,Melero,carreasinvalidas@gmail.com,80563,22,32
Victor,Heredia,vheredsdsddia@fiuba.com,80560,22,8
Antonio,Roma,aroma@fiuba.com,100,3,"4,6"
Rolando,Irusta,rirusta@fiuba.com,101,3,"4,6"
Hugo,Gatti,hgatti@fiuba.com,102,3,"4,6"
Roberto,Perfumo,rperfumo@fiuba.com,103,3,"4,6"
José,Varacka,jvaracka@fiuba.com,104,3,"4,6"
Oscar,Calics,ocalics@fiuba.com,105,3,"4,6"
Silvio,Marzolini,smarzolini@fiuba.com,106,3,"4,6"
Roberto,Ferreiro,rferreiro@fiuba.com,107,3,"4,6"
Carmelo,Simeone,csimeone@fiuba.com,108,3,"4,6"
Antonio,Rattín,arattin@fiuba.com,109,3,"4,6"
José Omar,Pastoriza,jpastoriza@fiuba.com,110,3,"4,6"
Rafael,Albrecht,ralbrecht@fiuba.com,111,3,"4,6"
Nelson,López,nlopez@fiuba.com,112,3,"4,6"
Mario,Chaldú,mchaldu@fiuba.com,113,3,"4,6"
Jorge,Solari,jsolari@fiuba.com,114,3,"4,6"
Alberto,González,agonzalez@fiuba.com,115,3,"4,6"
Juan Carlos,Sarnari,jsarnari@fiuba.com,116,3,"4,6"
Alfredo,Rojas,arojas@fiuba.com,117,3,"4,6"
Luis,Artime,lartime@fiuba.com,118,3,"4,6"
Ermindo,Onega,eonega@fiuba.com,119,3,"4,6"
Oscar,Más,omas@fiuba.com,120,3,"4,6"
Aníbal,Tarabini,atarabini@fiuba.com,121,3,"4,6"
Daniel,Carnevali,dcarnevali@fiuba.com,122,3,"4,6"
Rubén,Ayala,rayala@fiuba.com,123,3,"4,6"
Carlos,Babington,cbabington@fiuba.com,124,3,"4,6"
Agustín,Balbuena,abalbuena@fiuba.com,125,3,"4,6"
Ángel,Bargas,abargas@fiuba.com,126,3,"4,6"
Miguel,Brindisi,mbrindisi@fiuba.com,127,3,"4,6"
Jorge,Carrascosa,jcarrascosa@fiuba.com,128,3,"4,6"
Enrique,Chazarreta,echazarreta@fiuba.com,129,3,"4,6"
Rubén Oscar,Glaria,rglaria@fiuba.com,130,3,"4,6"
Ramón,Heredia,rheredia@fiuba.com,131,3,"4,6"
René,Houseman,rhouseman@fiuba.com,132,3,"4,6"
Ubaldo,Fillol,ufillol@fiuba.com,133,3,"4,6"
Mario,Kempes,mkempes@fiuba.com,134,3,"4,6"
Roberto,Perfumo,rperfumo@fiuba.com,135,3,"4,6"
Aldo,Poy,apoy@fiuba.com,136,3,"4,6"
Francisco,Sa,fsa@fiuba.com,137,3,"4,6"
Carlos,Squeo,csqueo@fiuba.com,138,3,"4,6"
Roberto,Telch,rtelch@fiuba.com,139,3,"4,6"
Néstor,Togneri,ntogneri@fiuba.com,140,3,"4,6"
Enrique,Wolff,ewolff@fiuba.com,141,3,"4,6"
Miguel,Santoro,msantoro@fiuba.com,142,3,"4,6"
Héctor,Yazalde,hyasalde@fiuba.com,143,3,"4,6"
